"id";"naam";"category";"straat";"huisnummer";"postcode";"district";"tel";"openingsuren";"sluitingsdagen"
"1";"Museum Plantin-Moretus / Prentenkabinet";"musea";"Vrijdagmarkt";"22-23";"2000";"Antwerpen";"03 221 14 50";"di-zo 10-17";""
"2";"Museum Mayer van den Bergh";"musea";"Lange Gasthuisstraat";"19";"2000";"Antwerpen";"03 232 42 37";"di-zo 10-17";""
"3";"AMVC-Letterenhuis";"musea";"Minderbroedersstraat";"22";"2000";"Antwerpen";"03 222 93 20";"di-zo 10-17";""
"4";"Rubenshuis";"musea";"Wapper";"9-11";"2000";"Antwerpen";"03 201 15 55";"di-zo 10-17";""
"5";"Museum Vleeshuis";"musea";"Vleeshouwersstraat";"38";"2000";"Antwerpen";"03 292 61 00";"di-zo 10-17";""
"6";"Erfgoedbibliotheek Hendrik Conscience";"musea";"Korte Nieuwstraat";"";"2000";"Antwerpen";"03 338 87 31";"15 sep -15 jun: ma, di en do 9-18; wo 9-20; vr 9-17; za 9-13 ||| 16 jun - 14 sep: ma-vr 9-17";""
"7";"MAS";"musea";"Hanzestedenplaats";"1";"2000";"Antwerpen";"03 338 44 00";"";""
"8";"MoMu";"musea";"Nationalestraat";"28";"2000";"Antwerpen";"03 470 27 70";"";""
"9";"co Sint-Andries";"cultuurcentra";"Sint-Andriesplaats";"24";"2000";"Antwerpen";"03Â 260 80 50";"di-vr 12-16";""
"10";"AMUZ";"cultuurcentra";"Kammenstraat";"81";"2000";"Antwerpen";"03 292 36 80";"";""
"11";"Bibliotheek Andries";"bibliotheken";"Sint-Andriesplaats";"22";"2000";"Antwerpen";"0800 992 93";"wo 10-18; do 14-18; ma, di, vr en za (op afspraak)";""
"12";"het stadsmagazijn";"ontmoetingscentra";"keistraat";"5-7";"2000";"Antwerpen";"03 292 63 80";"di-vr 11-23; za 14-18";""
"13";"stadswinkel";"Geen";"Grote Markt";"11";"2000";"Antwerpen";"";"di-za 11-17.30";""
"14";"Olympisch Zwembad Wezenberg";"Zwembaden & Sport";"Desguinlei";"17-19";"2018";"Antwerpen";"03 259 23 11";"ma-vr 7-21.30; vr 20-21 (sfeerzwemmen); za-zo 8-13";""
"15";"Bibliotheek Brederode";"bibliotheken";"Brederodestraat";"119";"2018";"Antwerpen";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak)";""
"16";"ZOO Antwerpen";"geen";"Koningin Astridplein";"26";"2018";"Antwerpen";"";"";""
"17";"CC de Schelde";"cultuurcentra";"De Keyserhoeve";"66";"2040";"Zandvliet";"03Â 297 25 86Â ";"di-vr 9-16";""
"18";"Bibliotheek Viswater";"bibliotheken";"Tongerlostraat";"2";"2040";"Berendrecht";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak); 2e en 4e za van maand 10-14";""
"20";"Bibliotheek Elsschot";"bibliotheken";"Willem Elsschotstraat";"5";"2050";"Antwerpen";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak)";""
"21";"Top Hat";"ontmoetingscentra";"Dwarslaan";"9";"2050";"Antwerpen";"03 250 11 00";"ma-vr 9-16";""
"22";"Zwembad Veldstraat";"Zwembaden & Sport";"Veldstraat";"83";"2060";"Antwerpen";"03 292 55 55";"";""
"23";"Bibliotheek Permeke";"bibliotheken";"De Coninckplein";"26";"2060";"Antwerpen";"0800 992 93";"ma-do 10-20; vr en za 10-17; zo 10-14; jul - aug ma 10-17";""
"24";"Atlas";"ontmoetingscentra";"carnotstraat";"110";"2060";"antwerpen";"03 338 70 11";"ma-vr 9-17; di 9-19.30";""
"25";"het oude badhuis";"ontmoetingscentra";"stuivenbergplein";"38";"2060";"Antwerpen";"03 292 60 19";"ma-do 10-23; vr-za 10-3";""
"26";"Zwembad Arena";"Zwembaden & Sport";"GabriÃ«l Vervoortstraat";"8";"2100";"Deurne";"03 293 24 60 ";"ma-vr 8.30-21.30; wo 14-16 (speelzwemmen); za-zo 8.30-18; zo 14-16 (speelzwemmen)";""
"27";"CC Deurne";"cultuurcentra";"Frans Messingstraat";"36";"2100";"Deurne";"03 360 85 50";"ma-vr 9-16";""
"28";"CC Deurne RIX";"cultuurcentra";"de Gryspeerstraat";"86";"2100";"Deurne";"03 360 85 50";"";""
"29";"Bibliotheek Arena";"bibliotheken";"Arenaplein";"62";"2100";"Deurne";"0800 992 93";"ma 9-12; di 10-18; wo 10-20; do 10-18; 3e za van maand 10-17; vr en za (op afspraak)";""
"30";"Bibliotheek Couwelaar";"bibliotheken";"Te Couwelaarlei";"120";"2100";"Deurne";"0800 992 93";"di-do 10-20; vr en za 10-17; zo en ma (op afspraak)";""
"31";"Deurne zuid Den Tip";"jeugddiensten";"Van Den Hautelei";"79";"2100";"Deurne";"";"";""
"32";"Zwembad Plantin Moretus";"Zwembaden & Sport";"Plantin en Moretuslei";"343";"2140";"Borgerhout";"03 270 75 20";"ma 12-13.30 (andersvaliden) en 16.30-18 (senioren); di 12-13.30; di 16-17 (dames); wo 12-13.30 (senioren) en 13.30-21; do 12-13.30; vr 12-13.30 (senioren) en 16-17.30 (andersvaliden); za 8.30-18; zo 8.30-13 ";""
"33";"CC Borgerhout/De Roma";"cultuurcentra";"Turnhoutsebaan";"327";"2140";"Borgerhout";"03 292 97 50";"ma-vr 9.30-12.30 en 13.30-17";""
"34";"Bibliotheek Vredegerecht";"bibliotheken";"Turnhoutsebaan";"92";"2140";"Borgerhout";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak)";""
"35";"Ecohuis";"Geen";"Turnhoutsebaan";"139";"2140";"borgerhout";"03 217 08 11";"";""
"36";"Zwembad Groenenhoek";"Zwembaden & Sport";"Orpheusplein";"1";"2600";"Berchem";"03 292 91 80";"ma, wo en vr 12-13.30; di 12-13.30 (senioren); do 12-13.30 (dames), vr 15-16.30 (andersvaliden), za 13-18";""
"37";"CC Berchem";"cultuurcentra";"Driekoningenstraat";"126";"2600";"Berchem";"03 286 88 20";"di-vr 10-16.30";""
"38";"Bibliotheek De Poort";"bibliotheken";"Willem van Laarstraat";"15-17";"2600";"Berchem";"0800 992 93";"di-do 10-20; vr en za 10-17; zo en ma (op afspraak)";""
"39";"Bibliotheek Groenenhoek";"bibliotheken";"Turkooisstraat";"18";"2600";"Berchem";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak)";""
"40";"CC Luchtbal";"cultuurcentra";"Columbiastraat";"110";"2030";"Antwerpen";"03 543 90 30";"di-vr 9-16";""
"41";"CC Luchtbal";"cultuurcentra";"Columbiastraat";"8";"2030";"Antwerpen";"03 543 90 30";"di-vr 9-16";""
"42";"Bibliotheek Luchtbal";"bibliotheken";"Columbiastraat";"110";"2030";"Antwerpen";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak)";""
"43";"Zwembad Park van Merksem";"Zwembaden & Sport";"Van Heybeeckstraat";"9";"2170";"Merksem";"03 645 44 22";"ma-vr 8.30-21.30; za-zo 8.30-18; di en do 20-21 (sfeerzwemmen); wo en za 14-16 (speelzwemmen)";""
"44";"CC Merksem";"cultuurcentra";"Bredabaan";"561";"2170";"Merksem";"03 641 62 10";"ma-vr 10-17";""
"45";"CC Merksem";"cultuurcentra";"Nieuwdreef";"135";"2170";"Merksem";"03 641 62 10";"ma-vr 10-17";""
"46";"Bibliotheek Maantje";"bibliotheken";"Maantjessteenweg";"23";"2170";"Merksem";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak)";""
"47";"Bibliotheek Park";"bibliotheken";"Van Heybeeckstraat";"28A";"2170";"Merksem";"0800 992 93";"di-do 10-20; vr en za 10-17; zo en ma (op afspraak)";""
"48";"Merksemdok";"ontmoetingscentra";"Emiel Lemineurstraat";"72-74";"2170";"Merksem";"03 292 95 80";"ma-do 18-23; vr 16-23; za vanaf Ã©Ã©n uur voor de activiteit";""
"49";"Zwembad De Schinde";"Zwembaden & Sport";"Oorderseweg";"83";"2180";"Ekeren";"03 292 65 50 ";"wo 12-18; do 12-13 (senioren); vr 13-18 (dames) en 15.45-16.45 (senioren); za 13-18, zo 8.30-13";""
"50";"CC Ekeren";"cultuurcentra";"kloosterstraat";"4";"2180";"Ekeren";"03 292 67 30";"di-vr 9-16";""
"51";"Bibliotheek Driehoek";"bibliotheken";"Driehoekstraat";"43";"2180";"Ekeren";"0800 992 93";"di-do 10-20; vr en za 10-17; zo en ma (op afspraak)";""
"52";"Middelheimmuseum";"musea";"Middelheimlaan";"61";"2020";"Antwerpen";"03 288 33 60";"di-zo 10-17; apr 10-19; mei 10-20; jun en jul 10-21; aug 10-20; sep 10-19";""
"53";"co Nova";"cultuurcentra";"Schijfstraat";"105";"2020";"Antwerpen";"03 259 04 20";"di-vr 9-17";""
"54";"Bibliotheek Kielpark";"bibliotheken";"Wittestraat";"10";"2020";"Antwerpen";"0800 992 93";"di en do 10-18; wo 10-20; ma, vr en za (op afspraak)";""
"55";"Zwembad Ieperman";"Zwembaden & Sport";"Doornstraat";"3";"2610";"Wilrijk";"03 828 65 69";"ma 8-9 en 12-18; di 12-18; wo 8-9 en 12-21; do 12-18; vr 8-9 en 12-18; za 8.30-13; zo 8.30-13";""
"56";"CC de Kern";"cultuurcentra";"Kern";"18";"2610";"Wilrijk";"03 821 01 20 Â Â Â Â Â Â Â Â Â Â ";"di 9-18.30; wo 9-16; do 9-18.30; vr 9-16";""
"57";"Bibliotheek Bist";"bibliotheken";"Bist";"34-35";"2610";"Wilrijk";"0800 992 93";"di-do 10-20; vr en za 10-17; zo en ma (op afspraak)";""
"58";"Bibliotheek Kaeck";"bibliotheken";"Koningin Elisabethstraat";"3";"2610";"Wilrijk";"0800 992 93";"di-do 10-20; vr en za 10-17; zo en ma (op afspraak)";""
"59";"Zwembad Sorghvliedt";"Zwembaden & Sport";"Krijgsbaan";"20";"2660";"Hoboken";"03 827 17 04 ";"ma-vr 8.30-21.30; za-zo 8.30-18";""
"61";"UiThuis Hoboken";"bibliotheken";"Kapelstraat";"64";"2660";"Hoboken";"0800 992 93";"di-do 10-20; vr en za 10-17; zo en ma (op afspraak)";""
