"id";"thema";"type";"subtype";"naam";"straat";"huisnummer";"postcode";"district";"lgst_niv";"hgst_niv";"grondopp";"gebo";"pero";"begindatum";"point_lng";"point_lat"
"PUB010";"publiek";"districtshuis";"districtshuis";"Districtshuis Wilrijk (tijdelijk)";"DOORNSTRAAT";"3C";"2610";"Wilrijk";"wijk";"stadsdeel";"224.34999999999999";" ";" ";"2006-01-01T00:00:00";"4.3970874850000428";"51.168626429000028"
"PUB009";"publiek";"districtshuis";"districtshuis";"Districtshuis Wilrijk (in verbouwing)";"BIST";"1";"2610";"Wilrijk";"wijk";"stadsdeel";"973.52999999999997";"GEBO2000086218";" ";"2004-01-01T00:00:00";"4.3942868020000674";"51.169365249000066"
"PUB008";"publiek";"districtshuis";"districtshuis";"Districtshuis Merksem";"BURGEMEESTER JOZEF NOLFPLEIN";"1";"2170";"Merksem";"wijk";"stadsdeel";"1684.73";"GEBO2000028792";" ";"2004-01-01T00:00:00";"4.441642133000073";"51.242071444000032"
"PUB007";"publiek";"districtshuis";"districtshuis";"Districtshuis Hoboken";"MARNEFLAAN";"3";"2660";"Hoboken";"wijk";"stadsdeel";"439.39999999999998";"GEBO2000009521";" ";"2004-01-01T00:00:00";"4.3532597970000211";"51.170999231000053"
"PUB006";"publiek";"districtshuis";"districtshuis";"Districtshuis Ekeren";"VELTWIJCKLAAN";"27";"2180";"Ekeren";"wijk";"stadsdeel";"538.94000000000005";"GEBO2000016662";" ";"2004-01-01T00:00:00";"4.424548843000025";"51.276393413000051"
"PUB005";"publiek";"districtshuis";"districtshuis";"Districtshuis Deurne";"MAURICE DEQUEECKERPLEIN";"1";"2100";"Deurne";"wijk";"stadsdeel";"2995.0999999999999";"GEBO2000101898";" ";"2004-01-01T00:00:00";"4.4597840000000701";"51.218632521000075"
"PUB004";"publiek";"districtshuis";"districtshuis";"Districtshuis Borgerhout";"MOORKENSPLEIN";"1";"2140";"Borgerhout";"wijk";"stadsdeel";"986.97000000000003";"GEBO2000051729";" ";"2004-01-01T00:00:00";"4.4335213430000522";"51.213596470000027"
"PUB003";"publiek";"districtshuis";"districtshuis";"Districtshuis Berendrecht-Zandvliet-Lillo";"ANTWERPSEBAAN";"140-142";"2040";"Bezali";"wijk";"stadsdeel";"964.94000000000005";"GEBO2000169385";" ";"2004-01-01T00:00:00";"4.3217508880000537";"51.344214835000059"
"PUB002";"publiek";"districtshuis";"districtshuis";"Districtshuis Berchem";"GROTESTEENWEG";"150";"2600";"Berchem";"wijk";"stadsdeel";"479.33999999999997";"GEBO2000169410";" ";"2004-01-01T00:00:00";"4.419652597000038";"51.195244291000051"
"PUB001";"publiek";"districtshuis";"districtshuis";"Districtshuis Antwerpen";"LANGE GASTHUISSTRAAT";"21";"2000";"Antwerpen";"wijk";"stadsdeel";"1965.6400000000001";"GEBO2000039246";" ";"2004-01-01T00:00:00";"4.4058492220000289";"51.215493590000051"
